iter	Passed	Remaining
0	141	141778
1	143	71708
2	145	48279
3	146	36461
4	148	29536
5	149	24792
6	150	21400
7	152	18893
8	153	16859
9	154	15272
10	156	14044
11	157	12999
12	159	12074
13	160	11324
14	162	10638
15	163	10051
16	165	9553
17	166	9058
18	167	8654
19	169	8300
20	170	7942
21	171	7642
22	173	7355
23	173	7073
24	175	6841
25	176	6601
26	177	6397
27	178	6198
28	179	6015
29	180	5846
30	182	5689
31	183	5537
32	184	5393
33	185	5259
34	186	5129
35	187	5007
36	187	4891
37	188	4779
38	189	4672
39	190	4570
40	191	4472
41	191	4377
42	192	4290
43	193	4205
44	194	4124
45	194	4043
46	195	3966
47	196	3893
48	196	3821
49	197	3752
50	198	3686
51	198	3622
52	199	3562
53	199	3502
54	200	3444
55	201	3389
56	201	3335
57	202	3283
58	202	3233
59	203	3184
60	203	3137
61	204	3090
62	204	3046
63	205	3004
64	205	2962
65	206	2921
66	206	2882
67	207	2841
68	207	2804
69	208	2768
70	208	2733
71	209	2699
72	209	2665
73	210	2633
74	211	2602
75	211	2572
76	212	2542
77	212	2513
78	213	2485
79	213	2457
80	214	2431
81	214	2404
82	215	2379
83	215	2354
84	216	2327
85	216	2304
86	217	2279
87	217	2256
88	218	2234
89	218	2213
90	219	2192
91	219	2171
92	220	2150
93	221	2130
94	221	2110
95	222	2090
96	222	2072
97	223	2053
98	223	2035
99	224	2018
100	224	2001
101	225	1982
102	225	1965
103	226	1948
104	226	1932
105	227	1916
106	227	1901
107	228	1887
108	228	1871
109	229	1857
110	230	1842
111	230	1828
112	231	1814
113	231	1800
114	232	1786
115	232	1772
116	233	1759
117	233	1746
118	234	1733
119	234	1720
120	235	1708
121	235	1696
122	235	1682
123	236	1671
124	237	1659
125	237	1648
126	238	1637
127	238	1625
128	239	1614
129	239	1604
130	240	1593
131	240	1583
132	241	1573
133	241	1563
134	242	1552
135	242	1543
136	243	1533
137	243	1523
138	244	1514
139	245	1505
140	245	1496
141	246	1487
142	246	1478
143	247	1469
144	247	1460
145	248	1452
146	248	1443
147	249	1435
148	249	1427
149	250	1419
150	251	1411
151	251	1403
152	252	1395
153	252	1388
154	253	1380
155	253	1373
156	254	1365
157	254	1357
158	255	1350
159	255	1342
160	256	1335
161	256	1327
162	257	1320
163	257	1312
164	257	1305
165	258	1298
166	258	1290
167	259	1284
168	259	1277
169	260	1270
170	260	1263
171	261	1256
172	261	1250
173	261	1243
174	262	1237
175	262	1230
176	263	1224
177	263	1217
178	264	1211
179	264	1205
180	264	1198
181	265	1191
182	265	1186
183	266	1180
184	266	1173
185	266	1168
186	267	1162
187	267	1157
188	268	1151
189	268	1146
190	269	1140
191	269	1135
192	270	1129
193	270	1124
194	271	1119
195	271	1113
196	271	1108
197	272	1103
198	272	1097
199	273	1092
200	273	1087
201	274	1082
202	274	1077
203	274	1072
204	275	1068
205	275	1063
206	276	1058
207	276	1053
208	277	1049
209	277	1044
210	278	1039
211	278	1035
212	278	1030
213	279	1026
214	279	1022
215	280	1017
216	280	1013
217	281	1008
218	281	1004
219	282	1000
220	282	996
221	283	992
222	283	988
223	284	984
224	284	981
225	285	977
226	285	973
227	286	969
228	286	965
229	287	961
230	287	957
231	288	954
232	288	950
233	289	946
234	289	942
235	289	938
236	290	934
237	290	931
238	291	927
239	291	923
240	292	920
241	292	916
