iter	Passed	Remaining
0	135	134876
1	136	67948
2	137	45837
3	139	34747
4	141	28097
5	142	23657
6	144	20554
7	147	18300
8	149	16440
9	150	14941
10	152	13677
11	152	12595
12	153	11685
13	154	10907
14	155	10229
15	157	9668
16	158	9165
17	159	8702
18	160	8293
19	161	7926
20	162	7574
21	163	7266
22	164	6972
23	164	6703
24	165	6460
25	166	6228
26	166	6012
27	167	5815
28	168	5627
29	168	5450
30	169	5285
31	169	5128
32	170	4986
33	170	4855
34	171	4730
35	172	4612
36	173	4518
37	174	4427
38	175	4322
39	175	4222
40	176	4126
41	176	4035
42	177	3947
43	177	3864
44	178	3785
45	178	3710
46	179	3638
47	179	3568
48	180	3500
49	180	3437
50	181	3375
51	181	3317
52	182	3259
53	182	3204
54	183	3150
55	183	3099
56	184	3048
57	184	3003
58	186	2971
59	187	2938
60	188	2906
61	189	2868
62	190	2830
63	190	2792
64	191	2754
65	192	2718
66	192	2682
67	193	2647
68	193	2614
69	194	2581
70	194	2549
71	195	2519
72	195	2488
73	196	2459
74	197	2430
75	197	2401
76	197	2373
77	198	2347
78	199	2321
79	199	2298
80	200	2276
81	201	2253
82	201	2230
83	202	2210
84	203	2188
85	203	2167
86	204	2145
87	205	2124
88	205	2104
89	206	2083
90	206	2063
91	207	2044
92	207	2026
93	208	2008
94	208	1989
95	209	1971
96	209	1952
97	210	1934
98	210	1917
99	211	1900
100	211	1883
101	212	1867
102	212	1850
103	213	1835
104	213	1820
105	214	1807
106	214	1793
107	216	1785
108	217	1780
109	218	1769
110	219	1756
111	219	1743
112	220	1730
113	220	1717
114	221	1704
115	222	1691
116	222	1678
117	222	1666
118	223	1655
119	224	1643
120	224	1632
121	225	1620
122	225	1610
123	226	1599
124	227	1589
125	227	1578
126	227	1566
127	228	1556
128	229	1547
129	229	1537
130	230	1528
131	231	1521
132	232	1513
133	232	1505
134	233	1496
135	234	1487
136	234	1478
137	235	1470
138	235	1461
139	236	1452
140	237	1444
141	237	1434
142	238	1426
143	238	1418
144	239	1409
145	239	1401
146	240	1392
147	240	1384
148	240	1376
149	241	1368
150	241	1360
151	242	1352
152	242	1345
153	243	1339
154	244	1333
155	245	1327
156	246	1322
157	247	1317
158	247	1311
159	248	1305
160	249	1297
161	249	1291
162	250	1285
163	250	1278
164	251	1272
165	251	1265
166	252	1259
167	252	1252
168	253	1247
169	254	1241
170	254	1236
171	255	1229
172	256	1224
173	256	1217
174	257	1212
175	257	1207
176	258	1201
177	259	1196
178	259	1191
179	261	1189
180	262	1186
181	262	1181
182	263	1176
183	264	1171
184	264	1167
185	265	1162
186	266	1157
187	266	1152
188	267	1148
189	268	1143
190	268	1139
191	269	1134
192	270	1130
193	271	1126
194	271	1121
195	272	1117
196	272	1112
197	273	1109
198	274	1105
199	275	1102
200	276	1098
201	277	1095
202	277	1091
203	278	1087
204	279	1082
205	279	1078
206	280	1073
207	280	1069
208	281	1065
209	282	1061
210	282	1056
211	283	1052
212	283	1048
213	284	1044
214	284	1040
215	285	1035
216	285	1031
217	286	1027
218	287	1023
219	287	1019
220	288	1015
221	288	1012
222	289	1008
223	290	1005
224	291	1002
225	292	1000
226	292	997
227	293	993
228	294	989
229	294	986
230	295	982
231	295	979
232	296	975
233	296	971
234	297	968
235	297	964
236	298	961
237	299	958
238	300	955
239	300	952
240	301	949
241	302	946
242	302	942
243	303	941
244	304	939
245	306	939
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	924
252	312	921
253	312	918
254	313	915
255	313	912
256	314	909
257	315	906
258	315	903
259	316	899
260	316	896
261	317	893
262	317	890
263	318	887
264	319	885
265	319	882
266	320	880
267	321	878
268	322	875
269	322	872
270	323	870
271	324	867
272	324	864
273	325	861
274	325	859
275	326	856
276	327	853
277	327	851
278	328	848
279	329	846
280	329	843
281	330	840
282	330	837
283	331	835
284	331	832
285	332	829
286	332	827
287	333	824
288	334	822
289	335	821
290	336	818
291	336	816
292	337	813
293	337	811
294	338	808
295	338	805
296	339	803
297	339	800
298	340	797
299	340	795
300	341	792
301	341	790
302	342	787
303	342	784
304	343	782
305	343	779
306	344	777
307	344	775
308	345	772
309	345	770
310	346	767
311	346	764
312	347	762
313	347	759
314	348	757
315	349	755
316	349	753
317	350	752
318	351	750
319	352	748
320	352	745
321	353	743
322	353	741
323	354	739
324	354	737
325	355	735
326	356	732
327	356	730
328	357	728
329	357	726
330	358	723
331	358	721
332	359	719
333	359	717
334	360	715
335	360	712
336	361	710
337	361	708
338	362	706
339	362	704
340	363	703
341	364	702
342	365	700
343	366	698
344	366	696
345	367	694
346	368	692
347	368	691
348	369	689
349	369	686
350	370	685
351	371	683
352	371	681
353	372	679
354	372	677
355	373	675
356	373	672
357	374	670
358	374	668
359	375	666
360	375	664
361	375	662
362	376	660
363	377	659
364	377	657
365	378	655
366	379	654
367	380	652
368	380	651
369	381	649
370	382	648
371	383	646
372	383	645
373	384	643
374	384	641
375	385	640
376	386	638
377	386	636
378	387	634
379	387	632
380	388	630
381	388	628
382	389	627
383	389	625
384	390	623
385	390	621
386	391	619
387	391	617
388	391	615
389	392	614
390	393	612
391	394	611
392	394	610
393	396	609
394	397	608
395	397	606
396	398	605
397	398	603
398	399	601
399	399	599
400	400	598
401	401	596
402	401	595
403	402	593
404	402	591
405	403	590
406	403	588
407	404	586
408	404	585
409	405	583
410	405	581
411	406	579
412	406	578
413	407	576
414	408	575
415	408	574
416	409	573
417	410	571
418	411	570
419	412	569
420	412	567
421	413	566
422	414	565
423	414	563
424	415	561
425	416	560
426	416	559
427	417	557
428	417	555
429	418	554
430	418	552
431	418	550
432	419	549
433	419	547
434	420	546
435	420	544
436	421	543
437	422	541
438	423	541
439	424	540
440	425	538
441	425	537
442	426	536
443	427	534
444	427	533
445	428	532
446	428	530
447	429	529
448	430	527
449	430	526
450	431	525
451	432	524
452	433	522
453	433	521
454	434	520
455	434	518
456	435	517
457	436	516
458	436	514
459	437	513
460	438	512
461	438	511
462	440	510
463	441	509
464	441	508
465	442	506
466	443	505
467	443	504
468	444	503
469	445	502
470	446	500
471	446	499
472	447	498
473	448	497
474	448	496
475	449	494
476	449	493
477	450	491
478	451	490
479	451	489
480	452	488
481	454	488
482	455	487
483	456	486
484	457	485
485	457	484
486	458	482
487	458	481
488	459	480
489	460	478
490	460	477
491	461	476
492	461	474
493	462	473
494	462	472
495	463	471
496	464	469
497	464	468
498	465	467
499	466	466
500	467	465
501	468	464
502	468	463
503	469	462
504	470	461
505	471	460
506	472	459
507	472	457
508	473	456
509	473	455
510	474	454
511	475	452
512	475	451
513	476	450
514	476	449
515	477	447
516	477	446
517	478	445
518	478	443
519	479	442
520	479	441
521	480	439
522	481	438
523	481	437
524	482	436
525	483	435
526	484	434
527	485	433
528	485	432
529	486	431
530	486	430
531	487	428
532	488	427
533	488	426
534	489	425
535	489	423
536	490	422
537	490	421
538	491	420
539	491	418
540	492	417
541	493	416
542	493	415
543	494	414
544	494	413
545	495	411
546	496	410
547	496	409
548	497	408
549	497	407
550	498	406
551	499	405
552	500	404
553	501	403
554	502	402
555	502	401
556	503	400
557	503	398
558	504	397
559	504	396
560	505	395
561	505	394
562	506	392
563	506	391
564	507	390
565	507	389
566	508	388
567	509	387
568	509	385
569	510	384
570	510	383
571	511	382
572	511	381
573	512	380
574	513	379
575	514	378
576	515	377
577	515	376
578	516	375
579	517	374
580	517	373
581	518	372
582	518	371
583	519	370
584	520	369
585	520	367
586	521	366
587	522	365
588	522	364
589	523	363
590	523	362
591	524	361
592	524	360
593	525	359
594	525	357
595	526	356
596	527	355
597	527	354
598	529	354
599	529	353
600	530	352
601	530	351
602	531	349
603	532	348
604	532	347
605	533	346
606	533	345
607	534	344
608	534	343
609	535	342
610	535	341
611	536	339
612	536	338
613	537	337
614	537	336
615	538	335
616	538	334
617	539	333
618	539	332
619	540	331
620	540	330
621	541	328
622	542	328
623	542	327
624	543	326
625	544	325
626	545	324
627	546	323
628	546	322
629	547	321
630	547	320
631	548	319
632	548	318
633	549	317
634	549	316
635	550	315
636	550	313
637	551	312
638	551	311
639	552	310
640	552	309
641	553	308
642	553	307
643	554	306
644	554	305
645	555	304
646	555	303
647	556	302
648	557	301
649	558	300
650	558	299
651	559	298
652	560	297
653	560	296
654	561	295
655	561	294
656	562	293
657	562	292
658	563	291
659	564	290
660	564	289
661	565	288
662	565	287
663	566	286
664	566	285
665	567	284
666	567	283
667	568	282
668	568	281
669	569	280
670	569	279
671	570	278
672	570	277
673	571	276
674	572	275
675	573	274
676	574	273
677	574	273
678	575	272
679	576	271
680	576	270
681	577	269
682	577	268
683	578	267
684	579	266
685	579	265
686	580	264
687	580	263
688	581	262
689	582	261
690	582	260
691	583	259
692	584	258
693	584	257
694	585	256
695	586	255
696	586	255
697	587	254
698	588	253
699	589	252
700	590	251
701	590	250
702	591	249
703	592	248
704	592	248
705	593	247
706	594	246
707	594	245
708	595	244
709	596	243
710	596	242
711	597	241
712	597	240
713	598	239
714	598	238
715	598	237
716	599	236
717	600	235
718	600	234
719	601	233
720	602	233
721	603	232
722	604	231
723	604	230
724	605	229
725	606	228
726	606	227
727	607	226
728	607	225
729	608	225
730	609	224
731	609	223
732	610	222
733	610	221
734	611	220
735	612	219
736	612	218
737	613	217
738	619	218
739	622	218
740	623	217
741	624	217
742	625	216
743	627	215
744	627	214
745	628	214
746	629	213
747	636	214
748	638	213
749	639	213
750	640	212
751	640	211
752	641	210
753	642	209
754	643	208
755	644	208
756	646	207
757	648	207
758	650	206
759	651	205
760	652	204
761	653	203
762	653	203
763	654	202
764	654	201
765	655	200
766	656	199
767	656	198
768	657	197
769	658	196
770	659	195
771	660	194
772	662	194
773	663	193
774	664	193
775	665	192
776	666	191
777	667	190
778	667	189
779	668	188
780	668	187
781	669	186
782	670	185
783	670	184
784	671	183
785	672	183
786	673	182
787	679	182
788	680	182
789	681	181
790	682	180
791	682	179
792	683	178
793	684	177
794	684	176
795	685	175
796	686	174
797	687	174
798	688	173
799	690	172
800	691	171
801	692	170
802	692	169
803	693	169
804	694	168
805	695	167
806	695	166
807	696	165
808	697	164
809	697	163
810	698	162
811	698	161
812	699	160
813	699	159
814	700	159
815	701	158
816	701	157
817	702	156
818	703	155
819	704	154
820	704	153
821	705	152
822	706	151
823	707	151
824	707	150
825	708	149
826	708	148
827	709	147
828	709	146
829	710	145
830	711	144
831	711	143
832	712	142
833	713	141
834	713	141
835	714	140
836	715	139
837	715	138
838	716	137
